Year,Quarter,client_lobby_actor_id,client_name,LDA_frequency
2023,2,57099,Business Roundtable Inc.,15
2024,1,57099,Business Roundtable Inc.,14
2010,3,61524,American Fuel & Petrochemical Manufacturers,2
2011,2,61524,American Fuel & Petrochemical Manufacturers,2
2012,1,61524,American Fuel & Petrochemical Manufacturers,3
2010,2,68834,CVS Health,3
2011,1,68834,CVS Health,3
2011,4,68834,CVS Health,4
2012,3,68834,CVS Health,3
2013,2,68834,CVS Health,4
2014,1,68834,CVS Health,5
2014,4,68834,CVS Health,4
2015,3,68834,CVS Health,6
2016,2,68834,CVS Health,7
2017,1,68834,CVS Health,8
2019,4,70834,American Hospital Association,7
2020,3,70834,American Hospital Association,6
2021,2,70834,American Hospital Association,6
2022,1,70834,American Hospital Association,6
2022,4,70834,American Hospital Association,6
2023,3,70834,American Hospital Association,7
2024,2,70834,American Hospital Association,7
2018,4,82003,Google LLC,23
2019,3,82003,Google LLC,18
2020,2,82003,Google LLC,9
2021,1,82003,Google LLC,7
2021,4,82003,Google LLC,4
2022,3,82003,Google LLC,1
2022,4,87012,American Association for Justice,7
2023,3,87012,American Association for Justice,8
2024,2,87012,American Association for Justice,7
2010,4,87025,MasterCard Worldwide Inc.,9
2011,3,87025,MasterCard Worldwide Inc.,9
2012,2,87025,MasterCard Worldwide Inc.,9
2013,1,87025,MasterCard Worldwide Inc.,9
2013,4,87025,MasterCard Worldwide Inc.,8
2014,3,87025,MasterCard Worldwide Inc.,9
2015,2,87025,MasterCard Worldwide Inc.,9
2016,1,87025,MasterCard Worldwide Inc.,9
2016,4,87025,MasterCard Worldwide Inc.,9
2017,3,87025,MasterCard Worldwide Inc.,7
2018,2,87025,MasterCard Worldwide Inc.,8
2019,1,87025,MasterCard Worldwide Inc.,6
2019,4,87025,MasterCard Worldwide Inc.,7
2020,3,87025,MasterCard Worldwide Inc.,7
2021,2,87025,MasterCard Worldwide Inc.,9
2022,1,87025,MasterCard Worldwide Inc.,9
2014,4,91032,Bayer Corp.,5
2015,3,91032,Bayer Corp.,5
2016,2,91032,Bayer Corp.,5
2017,1,91032,Bayer Corp.,5
2017,4,91032,Bayer Corp.,6
2018,3,91032,Bayer Corp.,7
2010,3,7926,National Retail Federation,4
2011,2,7926,National Retail Federation,4
2012,1,7926,National Retail Federation,6
